Entity,Year,Access_to_electricity,Renewable,Energy,Value_co2_emissions,gdp_growth
Afghanistan,2003,14.74,36.66,1.40,1220.00,8.83
Afghanistan,2004,20.06,44.24,1.20,1030.00,1.41
Afghanistan,2005,25.39,33.88,1.41,1550.00,11.23
Afghanistan,2006,30.72,31.89,1.50,1760.00,5.36
Afghanistan,2007,36.05,28.78,1.53,1770.00,13.83
Afghanistan,2008,42.40,21.17,1.94,3560.00,3.92
Afghanistan,2009,46.74,16.53,2.25,4880.00,21.39
Afghanistan,2010,42.70,15.15,2.46,7110.00,14.36
Afghanistan,2011,43.22,12.61,3.23,8930.00,0.43
